,date,year,load,load_predict
20653,2006-07-19,2024,9795.4,8983.390933917968
20654,2006-07-20,2024,9262.5,8474.875596497945
20655,2006-07-21,2024,9822.1,8326.975256744763
20656,2006-07-22,2024,7888.4,7621.916932703457
20657,2006-07-23,2024,6989.7,7153.402934080105
20658,2006-07-24,2024,8964.3,8106.243854432078
20659,2006-07-25,2024,9431.1,7934.380308037515
20660,2006-07-26,2024,9795.7,8614.179002854986
20661,2006-07-27,2024,10391.9,8323.222133931202
20662,2006-07-28,2024,10311.5,8482.798355786208
20663,2006-07-29,2024,8787.1,7457.672745021597
20664,2006-07-30,2024,8767.2,8266.015145445403
20665,2006-07-31,2024,10546.8,8176.806199395813
20666,2006-08-01,2024,11321.4,8782.494436606103
20667,2006-08-02,2024,11367.0,8901.699764802415
20668,2006-08-03,2024,11221.7,9375.84926571491
20669,2006-08-04,2024,10447.3,8635.697540935944
20670,2006-08-05,2024,8236.1,7206.533288430493
20671,2006-08-06,2024,8058.0,6536.587309019121
20672,2006-08-07,2024,10072.4,8268.312103880367
20673,2006-08-08,2024,9615.0,8104.902226740181
20674,2006-08-09,2024,8909.8,7884.369065134053
20675,2006-08-10,2024,9214.3,7851.605221534665
20676,2006-08-11,2024,7921.1,6817.718687828771
20677,2006-08-12,2024,6413.9,6924.274671402771
20678,2006-08-13,2024,6570.2,6463.560082499841
20679,2006-08-14,2024,8952.5,7576.398640004824
20680,2006-08-15,2024,8931.1,7895.975321432755
20681,2006-08-16,2024,9184.6,7959.423870033637
20682,2006-08-17,2024,8959.9,8247.940068686612
20683,2006-08-18,2024,8563.4,8387.403965586002
20684,2006-08-19,2024,7395.2,6995.898663611135
20685,2006-08-20,2024,8010.5,6639.481585076618
20686,2006-08-21,2024,8983.3,7927.091555343984
20687,2006-08-22,2024,8922.0,8097.927823602601
20688,2006-08-23,2024,9080.1,8024.809986113334
20689,2006-08-24,2024,8765.8,7629.1452489190215
20690,2006-08-25,2024,8483.7,7648.674002622188
20691,2006-08-26,2024,6508.7,6507.997666867902
20692,2006-08-27,2024,6491.5,6660.166577206315
20693,2006-08-28,2024,8268.6,7612.267917370383
20694,2006-08-29,2024,7882.2,7256.40038650725
20695,2006-08-30,2024,7455.7,7509.010706557604
20696,2006-08-31,2024,7121.2,7445.8184925612095
20697,2006-09-01,2024,7011.7,6483.014308136004
20698,2006-09-02,2024,5812.6,5142.729574005581
20699,2006-09-03,2024,5887.5,5734.094434096197
20700,2006-09-04,2024,6174.9,6597.571577895388
20701,2006-09-05,2024,7395.6,7728.635255184219
20702,2006-09-06,2024,7571.3,7718.924099910136
20703,2006-09-07,2024,7952.7,6881.73439099025
20704,2006-09-08,2024,8240.5,7118.45929319235
20705,2006-09-09,2024,7188.9,6504.510218744434
20706,2006-09-10,2024,6330.6,6297.801163128085
20707,2006-09-11,2024,7128.0,6950.134238732967
20708,2006-09-12,2024,6947.8,7187.921199602091
